#Module 	 Chip 	 Chn 	 Mean 	 MeanError
1	129	0	240.732	1.94779
1	129	1	253.547	2.08286
1	129	2	260.096	2.13045
1	129	3	255.166	2.08075
1	129	4	250.014	2.04832
1	129	5	260.809	2.15565
1	129	6	266.535	2.21698
1	129	7	259.87	2.14898
1	129	8	258.506	2.12705
1	129	9	258.108	2.10015
1	129	10	255.46	2.1278
1	129	11	274.869	2.27104
1	129	12	255.369	2.08613
1	129	13	266.907	2.17074
1	129	14	255.006	2.10231
1	129	15	249.112	2.06011
1	129	16	258.045	2.11214
1	129	17	265.597	2.12431
1	129	18	255.423	2.09145
1	129	19	261.927	2.15627
1	129	20	258.787	2.094
1	129	21	260.781	2.14074
1	129	22	252.64	2.06076
1	129	23	261.096	2.13368
1	129	24	252.765	2.07
1	129	25	256.738	2.13492
1	129	26	268.299	2.17391
1	129	27	257.843	2.07399
1	129	28	261.005	2.13083
1	129	29	269.118	2.27949
1	129	30	252.119	2.10518
1	129	31	259.128	2.13555
1	129	32	261.308	2.1546
1	129	33	263.501	2.14597
1	129	34	259.369	2.10523
1	129	35	246.822	2.0396
1	130	0	212.916	3.55703
1	130	1	215.66	3.56409
1	130	2	230.776	3.91284
1	130	3	221.26	3.65248
1	130	4	213.554	3.42533
1	130	5	222.032	3.61025
1	130	6	234.804	3.88831
1	130	7	228.062	3.68582
1	130	8	217.386	3.56561
1	130	9	229.025	3.68042
1	130	10	219.395	3.66074
1	130	11	213.097	3.43772
1	130	12	213.194	3.43956
1	130	13	222.378	3.5786
1	130	14	224.709	3.71851
1	130	15	223.113	3.70246
1	130	16	226.786	3.59804
1	130	17	217.662	3.63503
1	130	18	215.558	3.53768
1	130	19	219.387	3.52207
1	130	20	222.22	3.51715
1	130	21	218.999	3.55101
1	130	22	228.266	3.7163
1	130	23	216.314	3.52395
1	130	24	222.652	3.59303
1	130	25	209.136	3.35737
1	130	26	220.708	3.52323
1	130	27	228.27	3.73566
1	130	28	221.358	3.56387
1	130	29	233.607	3.87075
1	130	30	220.139	3.54943
1	130	31	221.106	3.7074
1	130	32	224.23	3.67061
1	130	33	222.107	3.54186
1	130	34	223.494	3.66495
1	130	35	226.089	3.68155
