#Module 	 Chip 	 Chn 	 Mem 	 Pedestal 	 MeanError
1	129	0	1	229.576	0.234252
1	129	0	2	232.185	0.237146
1	129	0	3	237.314	0.243236
1	129	0	4	222.932	0.230702
1	129	0	5	241.672	0.255549
1	129	0	6	240.711	0.26467
1	129	0	7	239.413	0.279828
1	129	0	8	244.119	0.310874
1	129	0	9	232.627	0.33132
1	129	0	10	240.65	0.392986
1	129	0	11	256.995	0.492101
1	129	0	12	256.01	0.588556
1	129	0	13	251.263	0.708486
1	129	0	14	248.478	0.876971
1	129	0	15	237.033	1.06596
1	129	1	1	244.208	0.254328
1	129	1	2	249.786	0.260504
1	129	1	3	255.148	0.267141
1	129	1	4	244.15	0.258117
1	129	1	5	254.976	0.275492
1	129	1	6	258.314	0.29016
1	129	1	7	247.567	0.295521
1	129	1	8	254.274	0.330844
1	129	1	9	246.494	0.358655
1	129	1	10	248.869	0.415223
1	129	1	11	260.881	0.510299
1	129	1	12	269.047	0.631717
1	129	1	13	261.333	0.752834
1	129	1	14	258.313	0.931603
1	129	1	15	249.838	1.14706
1	129	2	1	237.979	0.246283
1	129	2	2	257.019	0.266451
1	129	2	3	261.124	0.271667
1	129	2	4	249.079	0.261646
1	129	2	5	258.926	0.277919
1	129	2	6	258.206	0.288225
1	129	2	7	247.343	0.293482
1	129	2	8	267.599	0.345928
1	129	2	9	256.333	0.370687
1	129	2	10	253.322	0.41998
1	129	2	11	271.248	0.52739
1	129	2	12	284.034	0.663083
1	129	2	13	283.915	0.813058
1	129	2	14	265.927	0.952839
1	129	2	15	249.379	1.13939
1	129	3	1	246.965	0.257507
1	129	3	2	246.651	0.257598
1	129	3	3	254.83	0.267097
1	129	3	4	243.676	0.257908
1	129	3	5	269.986	0.292022
1	129	3	6	251.302	0.282658
1	129	3	7	250.135	0.299097
1	129	3	8	257.19	0.334989
1	129	3	9	248.312	0.361749
1	129	3	10	247.458	0.413232
1	129	3	11	264.834	0.518378
1	129	3	12	282.247	0.663486
1	129	3	13	263.808	0.760799
1	129	3	14	258.047	0.930753
1	129	3	15	242.046	1.11197
1	129	4	1	248.154	0.258048
1	129	4	2	240.705	0.250765
1	129	4	3	248.691	0.259997
1	129	4	4	233.565	0.246504
1	129	4	5	249.279	0.268859
1	129	4	6	253.573	0.284429
1	129	4	7	235.881	0.281156
1	129	4	8	251.347	0.326495
1	129	4	9	248.907	0.361602
1	129	4	10	255.88	0.426174
1	129	4	11	260.212	0.508167
1	129	4	12	266.566	0.625323
1	129	4	13	260.487	0.749349
1	129	4	14	254.608	0.916697
1	129	4	15	242.36	1.11151
1	129	5	1	247.577	0.256744
1	129	5	2	247.696	0.257309
1	129	5	3	263.002	0.274178
1	129	5	4	245.262	0.258157
1	129	5	5	256.325	0.275713
1	129	5	6	255.47	0.28576
1	129	5	7	243.425	0.289439
1	129	5	8	264.579	0.34282
1	129	5	9	265.071	0.384192
1	129	5	10	260.834	0.433335
1	129	5	11	287.304	0.559843
1	129	5	12	274.591	0.642527
1	129	5	13	272.195	0.781304
1	129	5	14	270.555	0.972083
1	129	5	15	258.244	1.1819
1	129	6	1	252.281	0.261909
1	129	6	2	256.33	0.266577
1	129	6	3	264.682	0.27618
1	129	6	4	252.854	0.266464
1	129	6	5	262.562	0.282718
1	129	6	6	267.556	0.299663
1	129	6	7	250.907	0.298601
1	129	6	8	260.82	0.338256
1	129	6	9	263.16	0.381798
1	129	6	10	262.743	0.43702
1	129	6	11	282.184	0.550488
1	129	6	12	287.088	0.672955
1	129	6	13	292.594	0.840991
1	129	6	14	280.931	1.01049
1	129	6	15	261.328	1.19739
1	129	7	1	247.121	0.257684
1	129	7	2	249.713	0.260785
1	129	7	3	257.512	0.269942
1	129	7	4	251.916	0.266558
1	129	7	5	262.558	0.283948
1	129	7	6	250.865	0.282065
1	129	7	7	244.679	0.29244
1	129	7	8	259.113	0.337282
1	129	7	9	261.715	0.380959
1	129	7	10	259.409	0.432804
1	129	7	11	273.904	0.535806
1	129	7	12	279.042	0.654877
