#Module  	 Chip 	 Chn 	 Mem 	 Ped 	 Ped_err
1	0	2	1	877	12
1	0	3	1	868	60
1	0	5	1	871	2
1	0	7	1	879	57
1	0	8	1	872	107
1	0	9	1	875	101
1	0	10	1	867	11
1	0	11	1	882	3
1	0	12	1	877	39
1	0	14	1	878	9
1	0	15	1	863	73
1	0	16	1	864	13
1	0	18	1	861	8
1	0	19	1	876	70
1	0	20	1	872	1
1	0	21	1	873	72
1	0	22	1	868	9
1	0	23	1	879	31
1	0	24	1	870	5
1	0	25	1	878	42
1	0	28	1	868	17
1	1	7	1	790	5
1	1	9	1	785	6
1	1	10	1	766	3
1	1	13	1	778	5
1	1	14	1	770	1
1	1	16	1	784	4
1	1	17	1	775	19
1	1	21	1	778	4
1	1	29	1	788	5
1	2	9	1	831	12
1	2	10	1	835	10
1	2	11	1	828	17
1	2	12	1	833	17
1	2	14	1	830	4
1	2	15	1	827	11
1	2	18	1	841	49
1	2	19	1	833	14
1	2	21	1	820	11
1	2	22	1	824	11
1	2	23	1	814	5
1	2	24	1	833	5
1	2	25	1	836	15
1	2	26	1	831	68
1	2	27	1	823	17
1	2	29	1	820	18
1	2	30	1	825	23
1	2	31	1	837	8
1	2	33	1	833	78
1	2	34	1	823	11
1	3	1	1	952	93
1	3	2	1	943	89
1	3	4	1	943	8
1	3	5	1	937	17
1	3	6	1	931	14
1	3	8	1	957	10
1	3	9	1	949	3
1	3	10	1	961	4
1	3	11	1	949	85
1	3	12	1	942	20
1	3	13	1	946	10
1	3	14	1	949	22
1	3	15	1	946	81
1	3	16	1	949	62
1	3	17	1	948	74
1	3	20	1	950	8
1	3	21	1	956	42
1	3	23	1	950	110
1	3	24	1	938	77
1	3	25	1	945	7
1	3	26	1	952	4
1	3	28	1	954	8
2	0	7	1	904	11
2	0	9	1	905	13
2	0	10	1	903	5
2	0	11	1	913	15
2	0	12	1	914	20
2	0	13	1	901	12
2	0	14	1	909	5
2	0	15	1	903	8
2	0	16	1	901	15
2	0	17	1	912	3
2	0	18	1	903	14
2	0	19	1	898	8
2	0	20	1	904	8
2	0	21	1	901	6
2	0	22	1	897	16
2	0	23	1	903	17
2	0	24	1	897	8
2	0	25	1	893	5
2	0	26	1	887	9
2	0	27	1	899	4
2	0	28	1	905	8
2	0	29	1	904	25
2	0	30	1	905	3
2	0	31	1	894	23
2	0	32	1	900	3
2	0	33	1	909	21
2	0	34	1	903	10
2	0	35	1	882	35
2	1	0	1	886	6
2	1	2	1	898	9
2	1	3	1	888	5
2	1	4	1	899	8
2	1	6	1	888	7
2	1	7	1	896	3
2	1	8	1	898	14
2	1	9	1	898	1
2	1	10	1	884	1
2	1	11	1	897	8
2	1	12	1	888	4
2	1	13	1	899	2
2	1	14	1	900	1
2	1	15	1	897	12
2	1	16	1	901	10
2	1	19	1	887	11
2	1	20	1	895	6
2	1	21	1	895	10
2	1	22	1	893	7
2	1	23	1	897	7
2	1	24	1	887	4
2	1	25	1	890	93
2	1	26	1	891	4
2	1	28	1	901	9
2	2	0	1	884	17
2	2	1	1	887	12
2	2	2	1	879	6
2	2	3	1	884	3
2	2	4	1	878	16
2	2	5	1	896	7
2	2	6	1	896	16
2	2	7	1	888	20
2	2	8	1	900	8
2	2	9	1	896	15
2	2	10	1	890	7
2	2	11	1	884	17
2	2	12	1	896	4
2	2	13	1	878	7
2	2	14	1	886	86
2	2	16	1	898	831
2	2	19	1	886	92
2	2	20	1	894	102
2	2	21	1	901	20
2	2	24	1	891	4
2	2	25	1	892	8
2	2	26	1	900	9
2	2	28	1	892	71
2	3	7	1	829	3
2	3	9	1	827	5
2	3	10	1	831	2
2	3	11	1	830	1
2	3	12	1	835	6
2	3	13	1	824	1
2	3	14	1	836	6
2	3	15	1	818	7
2	3	18	1	835	1
2	3	19	1	820	12
2	3	20	1	825	6
2	3	21	1	827	10
2	3	22	1	827	9
2	3	23	1	832	6
2	3	24	1	829	5
2	3	26	1	835	6
2	3	27	1	834	9
2	3	28	1	823	4
2	3	29	1	822	12
2	3	30	1	841	9
2	3	31	1	813	4
2	3	32	1	831	3
2	3	33	1	822	6
2	3	34	1	825	12
2	3	35	1	814	9
3	0	0	1	810	2
3	0	1	1	807	4
3	0	2	1	804	9
3	0	3	1	811	7
3	0	4	1	809	6
3	0	5	1	809	1
3	0	6	1	809	3
3	0	7	1	811	7
3	0	8	1	811	1
3	0	9	1	798	2
3	0	10	1	809	2
3	0	11	1	811	1
3	0	12	1	816	7
3	0	13	1	810	1
3	0	14	1	817	7
3	0	15	1	810	1
3	0	16	1	814	6
3	0	17	1	814	1
3	0	18	1	805	6
3	0	19	1	809	3
3	0	20	1	808	10
3	0	21	1	806	6
3	0	22	1	800	4
3	0	23	1	787	10
3	0	24	1	802	2
3	0	25	1	816	6
3	0	26	1	795	3
3	0	27	1	803	10
3	0	28	1	808	11
3	0	29	1	818	5
3	0	30	1	790	4
3	0	31	1	803	1
3	0	32	1	809	6
3	0	33	1	802	3
3	0	34	1	803	11
3	0	35	1	790	9
3	1	0	1	874	2
3	1	1	1	863	6
3	1	2	1	861	2
3	1	3	1	870	5
3	1	4	1	863	3
3	1	5	1	860	3
3	1	6	1	865	4
3	1	7	1	845	3
3	1	8	1	873	8
3	1	9	1	861	8
3	1	10	1	869	5
3	1	11	1	860	2
3	1	12	1	871	9
3	1	13	1	876	6
3	1	14	1	865	4
3	1	15	1	879	4
3	1	16	1	864	4
3	1	17	1	875	2
3	1	18	1	873	13
3	1	19	1	868	2
3	1	20	1	857	9
3	1	21	1	861	5
3	1	22	1	863	9
3	1	23	1	860	7
3	1	24	1	864	9
3	1	25	1	860	9
3	1	26	1	866	7
3	1	27	1	857	3
3	1	28	1	864	5
3	1	29	1	867	5
3	1	30	1	861	5
3	1	31	1	862	1
3	1	32	1	848	46
3	1	33	1	857	7
3	1	34	1	858	1
3	1	35	1	870	1
3	2	0	1	691	21
3	2	1	1	698	11
3	2	2	1	695	2
3	2	3	1	697	7
3	2	4	1	695	3
3	2	5	1	697	1
3	2	6	1	693	5
3	2	7	1	688	3
3	2	8	1	687	4
3	2	9	1	696	1
3	2	10	1	704	1
3	2	11	1	691	2
3	2	12	1	694	4
3	2	13	1	700	1
3	2	14	1	689	2
3	2	15	1	701	5
3	2	16	1	701	1
3	2	17	1	700	2
3	2	18	1	691	1
3	2	19	1	690	5
3	2	20	1	699	6
3	2	21	1	688	3
3	2	22	1	702	5
3	2	23	1	694	1
3	2	24	1	689	2
3	2	25	1	694	9
3	2	26	1	696	4
3	2	27	1	692	2
3	2	28	1	700	6
3	2	29	1	691	2
3	2	30	1	699	7
3	2	31	1	682	1
3	2	32	1	690	3
3	2	33	1	687	2
3	2	34	1	700	4
3	2	35	1	704	3
3	3	1	1	806	5
3	3	2	1	817	2
3	3	3	1	818	10
3	3	4	1	816	17
3	3	5	1	813	6
3	3	6	1	821	3
3	3	7	1	804	1
3	3	8	1	815	1
3	3	9	1	806	3
3	3	10	1	812	12
3	3	11	1	804	8
3	3	12	1	806	2
3	3	13	1	814	4
3	3	15	1	804	2
3	3	16	1	813	8
3	3	17	1	810	26
3	3	18	1	813	4
3	3	19	1	822	10
3	3	20	1	831	2
3	3	21	1	818	3
3	3	22	1	819	7
3	3	23	1	822	5
3	3	24	1	812	4
3	3	25	1	814	2
3	3	26	1	817	10
3	3	27	1	805	7
3	3	28	1	803	5
3	3	29	1	812	7
3	3	30	1	810	3
3	3	31	1	817	8
3	3	32	1	817	8
3	3	33	1	814	3
3	3	34	1	817	11
3	3	35	1	812	15
4	0	0	1	888	3
4	0	1	1	885	6
4	0	2	1	878	6
4	0	3	1	888	8
