#Module 	 BXID 	 Chip 	 slope 	 slope_err 	 slope_deadtime 	 slope_deadtime_err 	 Ped 	 Ped_err 	 last_edge 	 last_edge_err
1	0	0	1.67785	0.0922646	1.6443	0.0904434	872	130	3256	8
1	0	1	1.73837	0.0227126	1.70361	0.0223632	777	24	3078	11
1	0	2	1.71895	0.212341	1.68457	0.208106	826	287	3153	7
1	0	3	1.41143	0.0361813	1.3832	0.0355011	942	70	3776	8
1	1	0	1.59936	0.684989	1.56737	0.671292	868	1071	3369	9
1	1	1	1.72488	0.0233804	1.69038	0.023013	782	27	3101	7
1	1	2	1.65426	0.0909895	1.62117	0.0891935	833	132	3251	6
1	1	3	1.39811	0.0459274	1.37015	0.0450424	953	92	3814	7
2	0	0	1.52149	0.0115745	1.49106	0.0114997	902	7	3531	9
2	0	1	1.60578	0.0121524	1.57367	0.0120757	893	8	3384	7
2	0	2	1.55945	0.0157018	1.52827	0.0155095	893	19	3458	7
2	0	3	1.67504	0.0355095	1.64154	0.0348616	827	48	3215	6
2	1	0	1.44718	0.0106201	1.41823	0.0105622	905	7	3669	8
2	1	1	1.76678	0.0143094	1.73145	0.0141943	890	10	3154	6
2	1	2	1.5534	0.0139275	1.52233	0.013785	891	15	3466	7
2	1	3	1.59109	0.0327205	1.55927	0.0321271	831	49	3345	5
3	0	0	1.5873	0.0124879	1.55556	0.0123964	816	9	3336	8
3	0	1	1.55039	0.0116681	1.51938	0.0115962	868	6	3448	9
3	0	2	1.88679	0.0144761	1.84906	0.0143794	697	5	2817	8
3	0	3	1.59808	0.0112364	1.56612	0.0111896	810	4	3313	7
3	1	0	1.66597	0.0117382	1.63265	0.0116885	803	5	3204	6
3	1	1	1.62206	0.0126104	1.58962	0.0125218	860	7	3326	9
3	1	2	1.75131	0.0127565	1.71629	0.0126897	691	3	2975	8
3	1	3	1.61355	0.0118071	1.58128	0.0117437	816	5	3295	8
4	0	0	1.53669	0.011817	1.50595	0.0117373	881	6	3484	10
4	0	1	1.6129	0.0119965	1.58065	0.0119265	810	6	3290	8
4	0	2	1.65563	0.0118893	1.62252	0.0118321	834	3	3250	8
4	0	3	1.63399	0.0119232	1.60131	0.0118602	830	6	3278	7
4	1	0	1.63199	0.0133943	1.59935	0.0132824	885	7	3336	11
4	1	1	1.7301	0.0137739	1.6955	0.0136689	814	7	3126	9
4	1	2	1.62075	0.0115798	1.58833	0.0115259	844	3	3312	8
4	1	3	1.4556	0.0102573	1.42649	0.0102138	840	4	3588	8
5	0	0	1.74064	0.0128161	1.70583	0.012745	817	4	3115	8
5	0	1	1.5015	0.0109033	1.47147	0.0108472	904	4	3568	9
5	0	2	1.59172	0.0118951	1.55989	0.0118241	842	5	3355	9
5	0	3	1.66597	0.0126274	1.63265	0.0125471	894	5	3295	9
5	1	0	1.7414	0.0136272	1.70657	0.0135292	819	6	3116	9
5	1	1	1.64948	0.012351	1.61649	0.0122767	895	6	3320	8
5	1	2	1.59617	0.0117845	1.56425	0.0117182	850	4	3356	9
5	1	3	1.54739	0.0111992	1.51644	0.0111427	897	5	3482	8
6	0	0	1.53433	0.0097685	1.50364	0.00976148	139	1	2746	3
6	0	1	1.56556	0.0124373	1.53425	0.0123431	875	6	3430	11
6	0	2	1.43627	0.00993307	1.40754	0.00989695	913	2	3698	8
6	0	3	1.52497	0.0105093	1.49447	0.0104723	902	3	3525	7
6	1	0	1.5361	0.00963679	1.50538	0.00963536	154	1	2758	1
6	1	1	1.56556	0.011545	1.53425	0.0114804	872	6	3427	8
6	1	2	1.50659	0.0102669	1.47646	0.0102345	907	4	3562	6
6	1	3	1.55885	0.0106824	1.52767	0.0106467	900	4	3466	6
7	0	0	1.638	0.0138597	1.60524	0.0137344	859	5	3301	13
7	0	1	1.57171	0.0134455	1.54028	0.0133208	912	5	3457	14
7	0	2	1.59681	0.0131431	1.56487	0.0130325	863	6	3368	12
7	0	3	1.74216	0.0138032	1.70732	0.0136996	809	5	3105	10
7	1	0	1.65221	0.013614	1.61917	0.0134991	863	5	3284	12
7	1	1	1.53728	0.0137096	1.50653	0.0135708	907	7	3509	15
7	1	2	1.55099	0.0118737	1.51997	0.011795	880	3	3459	11
7	1	3	1.59617	0.0125997	1.56425	0.0125063	826	5	3332	11
8	0	0	1.67224	0.016373	1.6388	0.0161797	806	6	3198	17
8	0	1	1.80261	0.015442	1.76656	0.0152984	771	5	2990	12
8	0	2	1.5528	0.0110034	1.52174	0.0109549	912	7	3488	5
8	0	3	1.61747	0.0123388	1.58512	0.0122582	776	6	3249	9
8	1	0	1.67364	0.0163948	1.64017	0.0162012	807	6	3197	17
8	1	1	1.68138	0.0136695	1.64775	0.0135584	775	3	3154	12
8	1	2	1.58667	0.0109059	1.55494	0.0108685	912	6	3433	4
8	1	3	1.65631	0.0127172	1.62319	0.012632	774	4	3189	10
9	0	0	1.80832	0.0155139	1.77215	0.015369	792	5	3004	12
9	0	1	1.71306	0.0139002	1.6788	0.0137878	824	5	3159	11
9	0	2	1.53905	0.0108847	1.50827	0.0108374	880	5	3479	7
9	0	3	1.51	0.0135627	1.4798	0.0134235	917	6	3566	16
9	1	0	1.78971	0.0153012	1.75391	0.0151595	797	7	3032	11
9	1	1	1.80505	0.0162875	1.76895	0.0161188	820	8	3036	12
9	1	2	1.60772	0.0346046	1.57556	0.0339714	874	5	3362	51
9	1	3	1.42602	0.0118067	1.3975	0.0117057	921	6	3726	14
10	0	0	1.3836	0.0102253	1.35593	0.0101674	934	7	3825	9
10	0	1	1.55763	0.011227	1.52648	0.0111718	874	2	3442	9
10	0	2	1.70503	0.0130818	1.67093	0.0129944	879	3	3225	10
10	0	3	1.72563	0.012521	1.69111	0.0124569	810	3	3128	8
10	1	0	1.45243	0.0108887	1.42338	0.0108227	926	9	3680	7
10	1	1	1.62338	0.0112227	1.59091	0.011182	875	2	3339	7
10	1	2	1.46092	0.0103303	1.4317	0.0102855	889	1	3627	9
10	1	3	1.63066	0.011985	1.59804	0.0119191	820	3	3273	9
11	0	0	1.61616	0.0835458	1.58384	0.0818995	888	1	3363	127
11	0	1	1.84928	0.0438518	1.8123	0.0430363	795	12	2958	48
11	0	2	1.63265	0.0130495	1.6	0.0129488	899	7	3349	10
11	0	3	1.63465	0.0159754	1.60196	0.0157873	849	7	3296	17
11	0	4	1.53139	0.0134529	1.50077	0.0133207	946	8	3558	14
11	0	5	1.64136	0.0513686	1.60854	0.0503826	878	16	3315	73
11	0	6	1.64069	0.0154075	1.60788	0.0152367	837	6	3275	16
11	0	7	1.73085	0.0144575	1.69624	0.014331	853	8	3164	10
11	0	8	1.6488	0.0142222	1.61583	0.0140878	850	8	3276	12
11	0	9	1.61225	0.0141397	1.58001	0.0140013	878	8	3359	13
11	0	10	1.59236	0.0136618	1.56051	0.0135343	891	7	3403	13
11	0	11	1.67926	0.0142161	1.64568	0.0140875	832	4	3214	13
11	0	12	1.49254	0.0110904	1.46269	0.011026	894	4	3574	10
11	0	13	1.66597	0.0124739	1.63265	0.0123988	821	7	3222	7
11	0	14	1.61616	0.0147218	1.58384	0.0145668	839	10	3314	13
11	0	15	1.62404	0.0138149	1.59155	0.0136884	837	11	3300	9
11	1	0	1.47059	0.0104138	1.44118	0.0103681	877	1	3597	9
11	1	1	1.68848	0.0317246	1.65471	0.031161	813	9	3182	41
11	1	2	1.60966	0.0133729	1.57746	0.0132574	911	8	3396	11
11	1	3	1.58416	0.0146472	1.55248	0.0144888	862	10	3387	14
11	1	4	1.36893	0.0105125	1.34155	0.010442	956	7	3878	11
11	1	5	1.68492	0.0542296	1.65122	0.0531863	883	17	3257	73
11	1	6	1.58919	0.0126981	1.55741	0.0126001	839	6	3356	11
11	1	7	1.73989	0.0146839	1.70509	0.014552	852	7	3151	11
11	1	8	1.52091	0.0119525	1.49049	0.0118652	853	6	3483	11
11	1	9	1.45773	0.0120221	1.42857	0.0119203	883	7	3627	13
11	1	10	1.49589	0.0124753	1.46597	0.0123665	897	7	3571	13
11	1	11	1.63399	0.0127362	1.60131	0.0126459	832	3	3280	11
11	1	12	1.42704	0.0104697	1.3985	0.0104127	900	4	3703	10
11	1	13	1.78731	0.0143674	1.75156	0.0142544	818	8	3056	8
11	1	14	1.6899	0.0147504	1.6561	0.0146074	838	8	3205	12
11	1	15	1.48038	0.0112442	1.45078	0.011172	848	10	3550	6
12	0	0	1.36379	0.00898071	1.33652	0.00896305	952	1	3885	6
12	0	1	1.81736	0.0164567	1.78101	0.0162852	854	8	3055	12
12	0	2	1.48038	0.0118296	1.45078	0.0117383	927	9	3629	10
12	0	3	1.56801	0.0139382	1.53665	0.0137979	864	8	3415	14
12	0	4	1.20156	0.00819019	1.17753	0.00816432	766	9	4095	1
12	0	5	1.61943	0.0108788	1.58704	0.0108498	809	1	3279	6
12	0	6	1.66044	0.0153459	1.62723	0.0151801	845	10	3254	13
12	0	7	1.83739	0.0162375	1.80064	0.016076	823	11	3000	8
12	0	8	1.75979	0.0149288	1.72459	0.0147931	816	7	3089	11
12	0	9	1.43524	0.010559	1.40653	0.0105007	881	6	3668	9
12	0	10	1.36472	0.00931904	1.33743	0.00928905	941	4	3872	7
12	0	11	1.81242	0.0136249	1.77617	0.0135413	755	7	2962	6
12	0	12	1.67856	0.0141374	1.64499	0.0140111	783	9	3166	10
12	0	13	1.40252	0.00986889	1.37447	0.00982756	938	6	3790	7
12	0	14	1.72488	0.0147091	1.69038	0.0145736	840	9	3159	10
12	0	15	1.67926	0.0142161	1.64568	0.0140875	838	11	3220	8
12	1	0	1.39616	0.00938174	1.36824	0.00935664	958	1	3823	7
12	1	1	1.5949	0.0135454	1.563	0.0134219	861	8	3369	12
12	1	2	1.38985	0.011071	1.36206	0.0109864	922	9	3800	11
12	1	3	1.41093	0.0119232	1.38272	0.0118158	872	8	3707	14
12	1	4	1.20156	0.00805385	1.17753	0.008033	766	8	4095	1
12	1	5	1.60514	0.0114606	1.57303	0.0114074	805	5	3297	7
12	1	6	1.66044	0.0152059	1.62723	0.0150442	845	8	3254	14
12	1	7	1.66528	0.014713	1.63197	0.0145667	821	12	3223	9
12	1	8	1.50263	0.0113149	1.47258	0.011245	817	5	3479	10
12	1	9	1.60578	0.0119281	1.57367	0.0118589	882	6	3373	8
12	1	10	1.54143	0.0122751	1.5106	0.0121814	938	10	3533	8
12	1	11	1.64948	0.011815	1.61649	0.011759	760	6	3185	6
